source_id,name,source_family,agency,base_url,scrape_method,active,priority,evidence_tier,subcategories,primary_route,secondary_route,correlation_target
CENT-SRC-SPACE-NASA-RSS,NASA RSS Feeds,space_remote_sensing,NASA,https://www.nasa.gov/rss-feeds/,rss,active,P0,T1,MISSION_ARCHIVE_RELEASE|SATELLITE_DATASET_RELEASE,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NASA-ARCHIVES,NASA Archives,space_remote_sensing,NASA,https://www.nasa.gov/archives/,html_change,manual,P0,T1,MISSION_ARCHIVE_RELEASE|SHUTTLE_VIDEO_OR_TELEMETRY,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NASA-NTRS,NASA Technical Reports Server,space_remote_sensing,NASA,https://ntrs.nasa.gov/,api,active,P0,T1,MISSION_ARCHIVE_RELEASE|SCIENTIFIC_REPROCESSING|SHUTTLE_VIDEO_OR_TELEMETRY,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NASA-EARTHDATA,NASA Earthdata Search,space_remote_sensing,NASA,https://search.earthdata.nasa.gov/,api,active,P0,T1,SATELLITE_DATASET_RELEASE|WEATHER_SATELLITE_ARCHIVE|SCIENTIFIC_REPROCESSING,satellite-observations-pr,,thehub-pr
CENT-SRC-SPACE-NOAA-NCEI-ARCHIVE,NOAA NCEI Archive,space_remote_sensing,NOAA,https://www.ncei.noaa.gov/archive,html_change,active,P0,T1,WEATHER_SATELLITE_ARCHIVE|SATELLITE_DATASET_RELEASE,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NOAA-NCEI-SAT,NOAA NCEI Satellite Products,space_remote_sensing,NOAA,https://www.ncei.noaa.gov/products/satellite,html_change,active,P0,T1,WEATHER_SATELLITE_ARCHIVE|SATELLITE_DATASET_RELEASE,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NOAA-SPACE-WEATHER,NOAA Space Weather Satellites,space_remote_sensing,NOAA,https://www.ncei.noaa.gov/products/space-weather/satellites,html_change,active,P0,T1,SATELLITE_DATASET_RELEASE|SCIENTIFIC_REPROCESSING,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NOAA-CLASS,NOAA CLASS,space_remote_sensing,NOAA,https://www.class.noaa.gov/,api,manual,P0,T1,WEATHER_SATELLITE_ARCHIVE|SATELLITE_DATASET_RELEASE,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-USGS-EROS,USGS EROS,space_remote_sensing,USGS,https://www.usgs.gov/centers/eros,html_change,active,P1,T1,SATELLITE_DATASET_RELEASE|SCIENTIFIC_REPROCESSING,satellite-observations-pr,,thehub-pr
CENT-SRC-SPACE-USGS-EARTHEXPLORER,USGS EarthExplorer,space_remote_sensing,USGS,https://earthexplorer.usgs.gov/,manual,manual,P1,T1,SATELLITE_DATASET_RELEASE,satellite-observations-pr,,thehub-pr
CENT-SRC-SPACE-NARA-RG615,NARA RG 615 UAP Records,space_remote_sensing,NARA,https://www.archives.gov/research/topics/uaps/rg-615,html_change,active,P0,T1,DECLASSIFIED_SPACE_RECORD|FOIA_READING_ROOM_RELEASE,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NARA-CATALOG,National Archives Catalog,space_remote_sensing,NARA,https://catalog.archives.gov/,api,active,P0,T1,DECLASSIFIED_SPACE_RECORD|MISSION_ARCHIVE_RELEASE,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NRO-DECLASS,NRO Declassified Programs,space_remote_sensing,NRO,https://www.nro.gov/foia-home/Declassified-NRO-Programs-and-Projects/,html_change,active,P0,T1,DECLASSIFIED_SPACE_RECORD|INFRARED_SENSOR_RECORD,satellite-observations-pr,ovnis-pr,thehub-pr
CENT-SRC-SPACE-NRO-READING,NRO FOIA Reading Room,space_remote_sensing,NRO,https://www.nro.gov/foia-home/foia-resources-reading-room/,html_change,active,P0,T1,FOIA_READING_ROOM_RELEASE|INFRARED_SENSOR_RECORD,satellite-observations-pr,ovnis-pr,thehub-pr
